FROM_ADDRESS,TOTAL_TIMES_QUERIED
0x65d66c76447ccb45daf1e8044e918fa786a483a1,1174
0x0f1f5a87f99f0918e6c81f16e59f3518698221ff,1092
0xedb67ee1b171c4ec66e6c10ec43edbba20fae8e9,596
0x27182842e098f60e3d576794a5bffb0777e025d3,567
0xad8a5c16fdf36e568f602d088dd0c0ade52dd652,429
0x00d54f129293b1580c779c8f04b2d8ce370ca69d,236
0xf79ad166c7ec3a8d49c0fb3903b8c26f46ff0ee0,175
0xe08d86fc31b497e79d321857248bee230f4c9953,74
0x4df938e57fd4ad1dfdddeeb1b4cfabab19e33a0e,60
0xf120f029ac143633d1942e48ae2dfa2036c5786c,52
0x1f98407aab862cddef78ed252d6f557aa5b0f00d,28
0xbe46a8d428ef46cd3b816c8ff78c6409a5f787b1,25
0xda1e98ef8c23f177f1d891721d3107a09b09b7b8,24
0xf82aedc7faa3fe1f412c71fe5e432690c46cd1bb,23
0x6b50c916d56dd35ce3e0229ea0c2c416091935e7,22
0xf3822177e77319528a82cad3ac5aa55c4b3792f3,18
0x10943fe2b1a2c3d2b20c23c0e2877802e194e791,8
0x074fe031ad93e6a2f6037eb1faa0bdc424dce79d,7
0x533b118669e363fa89cfcf90dbe5d0f11d90de1b,7
0x6687128d2dbdb5857f28ef4053f79e3cc0afd25f,5
0x6c6b7b29dc9636e247ce340f3f83bcf1e69c9eb9,4
0x8eb47e59e0c03a7d1bfeafee6b85910cefd0ee99,3
0xeee0ad3cb3c786f93dbc4c80b68802a321771848,2
0x85b4d6ae18f6a17c6349a1b443eef8cbfa130209,1
0xa0e2445805322b96cc1a9d0be7eee63d5c9e06af,1
0xd4b4568615cb365bca926910ebc30ea2161067cf,1
0x9d4f49dbeac55d1ce82cecb2bc5ce47e1e1cdeed,1
0x79af26c4586cfaef4d703068b5cbc1807951251d,1
0x6e09cf59f1da1c2508f37faf31bf37fc369894ca,1
0xbb685abf25abb932ecbf92464a56c6d5d180cd0f,1
0xa40f6c5cf84647823303b95961440398af113857,1
0xd567fd95820193386158550abdcff0cbc9112fe6,1
0x38652eeab13efebab38f19b5d5d50ee8a8ca80af,1
0xe34139463ba50bd61336e0c446bd8c0867c6fe65,1
0xd78b5db4aec619779b4c7d1ab99e290e6347d66a,1
,0
