DAY,DISTINCT_CONTRACT_SOURCES,DAILY_QUERIES
2021-10-14T00:00:00Z,30,1174
2021-10-15T00:00:00Z,32,1067
2021-10-16T00:00:00Z,29,1478
2021-10-17T00:00:00Z,34,1544
2021-10-18T00:00:00Z,27,1474
2021-10-19T00:00:00Z,30,1582
2021-10-20T00:00:00Z,25,1371
2021-10-21T00:00:00Z,29,1165
2021-10-22T00:00:00Z,27,1046
2021-10-23T00:00:00Z,33,1412
2021-10-24T00:00:00Z,33,968
2021-10-25T00:00:00Z,25,1158
2021-10-26T00:00:00Z,28,844
2021-10-27T00:00:00Z,29,517
2021-10-28T00:00:00Z,30,723
2021-10-29T00:00:00Z,29,797
2021-10-30T00:00:00Z,26,671
2021-10-31T00:00:00Z,24,580
2021-11-01T00:00:00Z,25,694
2021-11-02T00:00:00Z,28,1611
2021-11-03T00:00:00Z,24,1776
2021-11-04T00:00:00Z,24,1332
2021-11-05T00:00:00Z,25,1251
2021-11-06T00:00:00Z,28,1630
2021-11-07T00:00:00Z,29,1707
2021-11-08T00:00:00Z,31,2689
2021-11-09T00:00:00Z,23,7662
2021-11-10T00:00:00Z,27,7619
2021-11-11T00:00:00Z,30,6065
2021-11-12T00:00:00Z,30,4452
2021-11-13T00:00:00Z,22,4665
2021-11-14T00:00:00Z,28,5018
2021-11-15T00:00:00Z,27,3941
2021-11-16T00:00:00Z,30,3444
2021-11-17T00:00:00Z,27,3744
2021-11-18T00:00:00Z,26,3731
2021-11-19T00:00:00Z,30,4332
2021-11-20T00:00:00Z,21,3764
2021-11-21T00:00:00Z,25,3307
2021-11-22T00:00:00Z,24,2007
2021-11-23T00:00:00Z,22,2559
2021-11-24T00:00:00Z,30,2640
2021-11-25T00:00:00Z,27,2406
2021-11-26T00:00:00Z,30,2730
2021-11-27T00:00:00Z,25,2864
2021-11-28T00:00:00Z,27,2680
2021-11-29T00:00:00Z,29,3052
2021-11-30T00:00:00Z,26,3555
2021-12-01T00:00:00Z,25,2783
2021-12-02T00:00:00Z,31,3309
2021-12-03T00:00:00Z,28,3719
2021-12-04T00:00:00Z,31,3011
2021-12-05T00:00:00Z,28,3302
2021-12-06T00:00:00Z,33,2742
2021-12-07T00:00:00Z,22,3417
2021-12-08T00:00:00Z,29,3770
2021-12-09T00:00:00Z,29,3855
2021-12-10T00:00:00Z,27,4159
2021-12-11T00:00:00Z,31,4928
2021-12-12T00:00:00Z,21,5586
2021-12-13T00:00:00Z,29,4318
2021-12-14T00:00:00Z,34,4568
2021-12-15T00:00:00Z,35,4275
2021-12-16T00:00:00Z,27,3603
2021-12-17T00:00:00Z,28,3830
2021-12-18T00:00:00Z,26,4320
2021-12-19T00:00:00Z,24,6204
2021-12-20T00:00:00Z,28,4866
2021-12-21T00:00:00Z,26,4519
2021-12-22T00:00:00Z,26,4344
2021-12-23T00:00:00Z,31,3624
2021-12-24T00:00:00Z,22,4054
2021-12-25T00:00:00Z,22,3583
2021-12-26T00:00:00Z,22,4271
2021-12-27T00:00:00Z,24,3247
2021-12-28T00:00:00Z,27,2694
2021-12-29T00:00:00Z,22,1955
2021-12-30T00:00:00Z,23,2187
2021-12-31T00:00:00Z,31,2784
2022-01-01T00:00:00Z,29,3120
2022-01-02T00:00:00Z,24,2876
2022-01-03T00:00:00Z,27,2777
2022-01-04T00:00:00Z,25,2833
2022-01-05T00:00:00Z,29,2682
2022-01-06T00:00:00Z,32,2553
2022-01-07T00:00:00Z,33,2393
2022-01-08T00:00:00Z,28,3148
2022-01-09T00:00:00Z,24,2385
2022-01-10T00:00:00Z,31,2159
2022-01-11T00:00:00Z,23,2069
2022-01-12T00:00:00Z,23,2147
2022-01-13T00:00:00Z,27,2398
2022-01-14T00:00:00Z,23,1895
2022-01-15T00:00:00Z,26,2892
2022-01-16T00:00:00Z,23,2442
2022-01-17T00:00:00Z,25,2392
2022-01-18T00:00:00Z,25,2640
2022-01-19T00:00:00Z,26,2570
2022-01-20T00:00:00Z,27,2482
2022-01-21T00:00:00Z,39,2110
2022-01-22T00:00:00Z,33,2002
2022-01-23T00:00:00Z,27,2102
2022-01-24T00:00:00Z,32,2256
2022-01-25T00:00:00Z,24,2170
2022-01-26T00:00:00Z,30,2092
2022-01-27T00:00:00Z,28,1983
2022-01-28T00:00:00Z,29,1978
2022-01-29T00:00:00Z,26,2161
2022-01-30T00:00:00Z,28,2289
2022-01-31T00:00:00Z,26,2400
2022-02-01T00:00:00Z,25,1863
2022-02-02T00:00:00Z,19,2214
2022-02-03T00:00:00Z,21,2267
2022-02-04T00:00:00Z,23,2662
2022-02-05T00:00:00Z,29,3162
2022-02-06T00:00:00Z,29,3726
2022-02-07T00:00:00Z,22,2410
2022-02-08T00:00:00Z,26,3037
2022-02-09T00:00:00Z,26,2754
2022-02-10T00:00:00Z,26,2573
2022-02-11T00:00:00Z,31,2770
2022-02-12T00:00:00Z,24,2832
2022-02-13T00:00:00Z,26,3812
2022-02-14T00:00:00Z,22,3091
2022-02-15T00:00:00Z,26,2540
2022-02-16T00:00:00Z,22,1975
2022-02-17T00:00:00Z,25,2342
2022-02-18T00:00:00Z,25,2430
2022-02-19T00:00:00Z,24,3578
2022-02-20T00:00:00Z,33,2887
2022-02-21T00:00:00Z,22,1726
2022-02-22T00:00:00Z,27,2151
2022-02-23T00:00:00Z,24,2767
2022-02-24T00:00:00Z,40,1982
2022-02-25T00:00:00Z,26,2303
2022-02-26T00:00:00Z,27,2441
2022-02-27T00:00:00Z,27,3671
2022-02-28T00:00:00Z,25,2536
2022-03-01T00:00:00Z,23,2667
2022-03-02T00:00:00Z,21,2662
2022-03-03T00:00:00Z,22,2423
