DAY,DISTINCT_CONTRACT_SOURCES,DAILY_QUERIES
2021-12-12T00:00:00Z,3,12
2021-12-13T00:00:00Z,4,21
2021-12-14T00:00:00Z,3,92
2021-12-15T00:00:00Z,5,95
2021-12-16T00:00:00Z,5,50
2021-12-17T00:00:00Z,5,52
2021-12-18T00:00:00Z,3,46
2021-12-19T00:00:00Z,4,35
2021-12-20T00:00:00Z,5,21
2021-12-21T00:00:00Z,5,28
2021-12-22T00:00:00Z,4,26
2021-12-23T00:00:00Z,4,27
2021-12-24T00:00:00Z,3,5
2021-12-25T00:00:00Z,2,11
2021-12-26T00:00:00Z,3,17
2021-12-27T00:00:00Z,3,18
2021-12-28T00:00:00Z,3,9
2021-12-29T00:00:00Z,2,3
2021-12-30T00:00:00Z,3,7
2021-12-31T00:00:00Z,3,12
2022-01-01T00:00:00Z,4,12
2022-01-02T00:00:00Z,3,11
2022-01-03T00:00:00Z,3,18
2022-01-04T00:00:00Z,3,13
2022-01-05T00:00:00Z,4,12
2022-01-06T00:00:00Z,4,16
2022-01-07T00:00:00Z,4,11
2022-01-08T00:00:00Z,5,16
2022-01-09T00:00:00Z,3,8
2022-01-10T00:00:00Z,4,23
2022-01-11T00:00:00Z,6,56
2022-01-12T00:00:00Z,6,48
2022-01-13T00:00:00Z,5,40
2022-01-14T00:00:00Z,6,52
2022-01-15T00:00:00Z,5,32
2022-01-16T00:00:00Z,5,19
2022-01-17T00:00:00Z,5,30
2022-01-18T00:00:00Z,5,23
2022-01-19T00:00:00Z,4,21
2022-01-20T00:00:00Z,6,17
2022-01-21T00:00:00Z,5,34
2022-01-22T00:00:00Z,4,53
2022-01-23T00:00:00Z,5,50
2022-01-24T00:00:00Z,5,102
2022-01-25T00:00:00Z,4,55
2022-01-26T00:00:00Z,4,20
2022-01-27T00:00:00Z,6,161
2022-01-28T00:00:00Z,6,323
2022-01-29T00:00:00Z,5,115
2022-01-30T00:00:00Z,4,80
2022-01-31T00:00:00Z,6,59
2022-02-01T00:00:00Z,6,70
2022-02-02T00:00:00Z,6,85
2022-02-03T00:00:00Z,6,76
2022-02-04T00:00:00Z,6,66
2022-02-05T00:00:00Z,5,75
2022-02-06T00:00:00Z,5,156
2022-02-07T00:00:00Z,6,72
2022-02-08T00:00:00Z,5,45
2022-02-09T00:00:00Z,5,56
2022-02-10T00:00:00Z,4,87
2022-02-11T00:00:00Z,4,55
2022-02-12T00:00:00Z,4,46
2022-02-13T00:00:00Z,6,59
2022-02-14T00:00:00Z,5,28
