DAY,DISTINCT_CONTRACT_SOURCES,DAILY_QUERIES
2021-05-06T00:00:00Z,10,156
2021-05-07T00:00:00Z,12,341
2021-05-08T00:00:00Z,11,323
2021-05-09T00:00:00Z,10,285
2021-05-10T00:00:00Z,11,304
2021-05-11T00:00:00Z,10,251
2021-05-12T00:00:00Z,10,270
2021-05-13T00:00:00Z,13,431
2021-05-14T00:00:00Z,13,306
2021-05-15T00:00:00Z,12,336
2021-05-16T00:00:00Z,13,400
2021-05-17T00:00:00Z,13,615
2021-05-18T00:00:00Z,13,427
2021-05-19T00:00:00Z,13,1209
2021-05-20T00:00:00Z,13,822
2021-05-21T00:00:00Z,14,893
2021-05-22T00:00:00Z,12,770
2021-05-23T00:00:00Z,14,1314
2021-05-24T00:00:00Z,16,863
2021-05-25T00:00:00Z,17,1632
2021-05-26T00:00:00Z,14,1209
2021-05-27T00:00:00Z,19,1044
2021-05-28T00:00:00Z,16,1361
2021-05-29T00:00:00Z,14,1236
2021-05-30T00:00:00Z,16,1040
2021-05-31T00:00:00Z,14,1054
2021-06-01T00:00:00Z,13,1029
2021-06-02T00:00:00Z,12,750
2021-06-03T00:00:00Z,13,753
2021-06-04T00:00:00Z,14,918
2021-06-05T00:00:00Z,12,830
2021-06-06T00:00:00Z,13,621
2021-06-07T00:00:00Z,14,811
2021-06-08T00:00:00Z,14,1124
2021-06-09T00:00:00Z,12,981
2021-06-10T00:00:00Z,14,758
2021-06-11T00:00:00Z,13,895
2021-06-12T00:00:00Z,12,782
2021-06-13T00:00:00Z,13,729
2021-06-14T00:00:00Z,13,651
2021-06-15T00:00:00Z,12,671
2021-06-16T00:00:00Z,12,718
2021-06-17T00:00:00Z,14,641
2021-06-18T00:00:00Z,12,848
2021-06-19T00:00:00Z,13,703
2021-06-20T00:00:00Z,14,857
2021-06-21T00:00:00Z,14,1487
2021-06-22T00:00:00Z,13,1503
2021-06-23T00:00:00Z,12,1046
2021-06-24T00:00:00Z,12,753
2021-06-25T00:00:00Z,11,974
2021-06-26T00:00:00Z,12,970
2021-06-27T00:00:00Z,12,748
2021-06-28T00:00:00Z,12,818
2021-06-29T00:00:00Z,13,713
2021-06-30T00:00:00Z,11,747
2021-07-01T00:00:00Z,13,807
2021-07-02T00:00:00Z,15,712
2021-07-03T00:00:00Z,12,640
2021-07-04T00:00:00Z,11,610
2021-07-05T00:00:00Z,13,662
2021-07-06T00:00:00Z,10,578
2021-07-07T00:00:00Z,15,540
2021-07-08T00:00:00Z,16,589
2021-07-09T00:00:00Z,11,582
2021-07-10T00:00:00Z,9,478
2021-07-11T00:00:00Z,12,449
2021-07-12T00:00:00Z,12,560
2021-07-13T00:00:00Z,13,499
2021-07-14T00:00:00Z,11,612
2021-07-15T00:00:00Z,11,569
2021-07-16T00:00:00Z,11,590
2021-07-17T00:00:00Z,12,542
2021-07-18T00:00:00Z,12,461
2021-07-19T00:00:00Z,13,466
2021-07-20T00:00:00Z,12,561
2021-07-21T00:00:00Z,13,536
2021-07-22T00:00:00Z,13,656
2021-07-23T00:00:00Z,14,574
2021-07-24T00:00:00Z,10,636
2021-07-25T00:00:00Z,12,682
2021-07-26T00:00:00Z,13,860
2021-07-27T00:00:00Z,12,689
2021-07-28T00:00:00Z,9,536
2021-07-29T00:00:00Z,10,475
2021-07-30T00:00:00Z,11,498
2021-07-31T00:00:00Z,10,460
2021-08-01T00:00:00Z,13,633
2021-08-02T00:00:00Z,10,561
2021-08-03T00:00:00Z,11,558
2021-08-04T00:00:00Z,11,514
2021-08-05T00:00:00Z,10,601
2021-08-06T00:00:00Z,13,478
2021-08-07T00:00:00Z,12,578
2021-08-08T00:00:00Z,11,572
2021-08-09T00:00:00Z,11,564
2021-08-10T00:00:00Z,10,496
2021-08-11T00:00:00Z,11,523
2021-08-12T00:00:00Z,11,551
2021-08-13T00:00:00Z,13,500
2021-08-14T00:00:00Z,10,494
2021-08-15T00:00:00Z,11,465
2021-08-16T00:00:00Z,9,529
2021-08-17T00:00:00Z,10,641
2021-08-18T00:00:00Z,9,608
2021-08-19T00:00:00Z,9,532
2021-08-20T00:00:00Z,14,483
2021-08-21T00:00:00Z,9,477
2021-08-22T00:00:00Z,9,507
2021-08-23T00:00:00Z,10,452
2021-08-24T00:00:00Z,10,517
2021-08-25T00:00:00Z,10,538
2021-08-26T00:00:00Z,9,539
2021-08-27T00:00:00Z,10,512
2021-08-28T00:00:00Z,11,398
2021-08-29T00:00:00Z,8,421
2021-08-30T00:00:00Z,9,477
2021-08-31T00:00:00Z,9,563
2021-09-01T00:00:00Z,10,493
2021-09-02T00:00:00Z,8,446
2021-09-03T00:00:00Z,10,477
2021-09-04T00:00:00Z,8,472
2021-09-05T00:00:00Z,12,487
2021-09-06T00:00:00Z,10,468
2021-09-07T00:00:00Z,10,934
2021-09-08T00:00:00Z,11,771
2021-09-09T00:00:00Z,10,575
2021-09-10T00:00:00Z,9,581
2021-09-11T00:00:00Z,8,502
2021-09-12T00:00:00Z,11,509
2021-09-13T00:00:00Z,11,639
2021-09-14T00:00:00Z,10,518
2021-09-15T00:00:00Z,8,509
2021-09-16T00:00:00Z,9,561
2021-09-17T00:00:00Z,9,529
2021-09-18T00:00:00Z,9,448
2021-09-19T00:00:00Z,9,459
2021-09-20T00:00:00Z,11,749
2021-09-21T00:00:00Z,10,768
2021-09-22T00:00:00Z,10,656
2021-09-23T00:00:00Z,10,504
2021-09-24T00:00:00Z,11,716
2021-09-25T00:00:00Z,7,591
2021-09-26T00:00:00Z,8,704
2021-09-27T00:00:00Z,9,594
2021-09-28T00:00:00Z,9,569
2021-09-29T00:00:00Z,10,520
2021-09-30T00:00:00Z,10,545
2021-10-01T00:00:00Z,7,521
2021-10-02T00:00:00Z,11,461
2021-10-03T00:00:00Z,8,461
2021-10-04T00:00:00Z,9,531
2021-10-05T00:00:00Z,10,443
2021-10-06T00:00:00Z,10,538
2021-10-07T00:00:00Z,10,520
2021-10-08T00:00:00Z,7,499
2021-10-09T00:00:00Z,10,431
2021-10-10T00:00:00Z,9,467
2021-10-11T00:00:00Z,6,455
2021-10-12T00:00:00Z,9,540
2021-10-13T00:00:00Z,8,491
2021-10-14T00:00:00Z,8,453
2021-10-15T00:00:00Z,8,477
2021-10-16T00:00:00Z,9,460
2021-10-17T00:00:00Z,7,496
2021-10-18T00:00:00Z,9,471
2021-10-19T00:00:00Z,9,446
2021-10-20T00:00:00Z,8,439
2021-10-21T00:00:00Z,9,562
2021-10-22T00:00:00Z,10,485
2021-10-23T00:00:00Z,7,447
2021-10-24T00:00:00Z,8,432
2021-10-25T00:00:00Z,9,424
2021-10-26T00:00:00Z,7,515
2021-10-27T00:00:00Z,6,656
2021-10-28T00:00:00Z,7,516
