DAY,DISTINCT_CONTRACT_SOURCES,DAILY_QUERIES
2021-10-29T00:00:00Z,7,517
2021-10-30T00:00:00Z,7,581
2021-10-31T00:00:00Z,7,750
2021-11-01T00:00:00Z,8,565
2021-11-02T00:00:00Z,7,505
2021-11-03T00:00:00Z,7,536
2021-11-04T00:00:00Z,8,464
2021-11-05T00:00:00Z,8,441
2021-11-06T00:00:00Z,7,434
2021-11-07T00:00:00Z,8,404
2021-11-08T00:00:00Z,8,473
2021-11-09T00:00:00Z,6,502
2021-11-10T00:00:00Z,7,573
2021-11-11T00:00:00Z,7,471
2021-11-12T00:00:00Z,8,519
2021-11-13T00:00:00Z,6,402
2021-11-14T00:00:00Z,10,411
2021-11-15T00:00:00Z,8,430
2021-11-16T00:00:00Z,9,702
2021-11-17T00:00:00Z,9,613
2021-11-18T00:00:00Z,8,645
2021-11-19T00:00:00Z,7,548
2021-11-20T00:00:00Z,8,493
2021-11-21T00:00:00Z,6,482
2021-11-22T00:00:00Z,8,562
2021-11-23T00:00:00Z,10,550
2021-11-24T00:00:00Z,7,509
2021-11-25T00:00:00Z,7,549
2021-11-26T00:00:00Z,8,788
2021-11-27T00:00:00Z,6,583
2021-11-28T00:00:00Z,10,613
2021-11-29T00:00:00Z,9,521
2021-11-30T00:00:00Z,7,597
2021-12-01T00:00:00Z,7,554
2021-12-02T00:00:00Z,6,559
2021-12-03T00:00:00Z,8,588
2021-12-04T00:00:00Z,7,1078
2021-12-05T00:00:00Z,7,752
2021-12-06T00:00:00Z,6,845
2021-12-07T00:00:00Z,6,600
2021-12-08T00:00:00Z,6,638
2021-12-09T00:00:00Z,11,659
2021-12-10T00:00:00Z,6,660
2021-12-11T00:00:00Z,7,591
2021-12-12T00:00:00Z,7,485
2021-12-13T00:00:00Z,7,644
2021-12-14T00:00:00Z,7,622
2021-12-15T00:00:00Z,5,608
2021-12-16T00:00:00Z,8,540
2021-12-17T00:00:00Z,6,944
2021-12-18T00:00:00Z,6,910
2021-12-19T00:00:00Z,7,587
2021-12-20T00:00:00Z,6,566
2021-12-21T00:00:00Z,7,501
2021-12-22T00:00:00Z,8,551
2021-12-23T00:00:00Z,7,595
2021-12-24T00:00:00Z,5,540
2021-12-25T00:00:00Z,6,499
2021-12-26T00:00:00Z,6,496
2021-12-27T00:00:00Z,6,488
2021-12-28T00:00:00Z,7,629
2021-12-29T00:00:00Z,6,598
2021-12-30T00:00:00Z,6,545
2021-12-31T00:00:00Z,9,595
2022-01-01T00:00:00Z,7,499
2022-01-02T00:00:00Z,6,485
2022-01-03T00:00:00Z,6,532
2022-01-04T00:00:00Z,6,552
2022-01-05T00:00:00Z,7,685
2022-01-06T00:00:00Z,6,580
2022-01-07T00:00:00Z,6,777
2022-01-08T00:00:00Z,7,589
2022-01-09T00:00:00Z,6,526
2022-01-10T00:00:00Z,4,652
2022-01-11T00:00:00Z,5,589
2022-01-12T00:00:00Z,7,514
2022-01-13T00:00:00Z,6,543
2022-01-14T00:00:00Z,6,495
2022-01-15T00:00:00Z,7,468
2022-01-16T00:00:00Z,6,469
2022-01-17T00:00:00Z,8,505
2022-01-18T00:00:00Z,9,520
2022-01-19T00:00:00Z,9,521
2022-01-20T00:00:00Z,8,520
2022-01-21T00:00:00Z,7,853
2022-01-22T00:00:00Z,7,1078
2022-01-23T00:00:00Z,6,669
2022-01-24T00:00:00Z,6,879
2022-01-25T00:00:00Z,7,635
2022-01-26T00:00:00Z,10,745
2022-01-27T00:00:00Z,5,643
2022-01-28T00:00:00Z,6,611
2022-01-29T00:00:00Z,7,488
2022-01-30T00:00:00Z,7,518
2022-01-31T00:00:00Z,6,544
2022-02-01T00:00:00Z,6,493
2022-02-02T00:00:00Z,5,629
2022-02-03T00:00:00Z,6,574
2022-02-04T00:00:00Z,8,541
2022-02-05T00:00:00Z,7,508
2022-02-06T00:00:00Z,5,480
2022-02-07T00:00:00Z,6,510
2022-02-08T00:00:00Z,6,572
2022-02-09T00:00:00Z,6,496
2022-02-10T00:00:00Z,6,587
2022-02-11T00:00:00Z,9,544
2022-02-12T00:00:00Z,8,525
2022-02-13T00:00:00Z,7,462
2022-02-14T00:00:00Z,5,518
2022-02-15T00:00:00Z,7,489
2022-02-16T00:00:00Z,7,487
2022-02-17T00:00:00Z,7,530
2022-02-18T00:00:00Z,6,525
2022-02-19T00:00:00Z,7,487
2022-02-20T00:00:00Z,7,537
2022-02-21T00:00:00Z,6,682
2022-02-22T00:00:00Z,7,589
2022-02-23T00:00:00Z,5,542
2022-02-24T00:00:00Z,9,870
2022-02-25T00:00:00Z,8,607
2022-02-26T00:00:00Z,9,594
2022-02-27T00:00:00Z,7,706
2022-02-28T00:00:00Z,7,680
2022-03-01T00:00:00Z,8,625
2022-03-02T00:00:00Z,8,632
2022-03-03T00:00:00Z,6,573
2022-03-04T00:00:00Z,10,355
,0,0
